Physician_NPI,Submitting_Applicable_Manufacturer_or_Applicable_GPO_Name,Total_Invested_USDollars,Total_Earnings,Interaction
1538136577.0,Midmark Corporation,0.0,260062604.25,1
1508830258.0,"TriMed, Inc.",0.0,110000000.0,2
1881620888.0,Midmark Corporation,0.0,108388240.38,1
1164483376.0,Innovation Technologies Inc,24.03,22432565.7,3
1821157041.0,Edge Endo LLC,3580063.57,18662600.0,1
1063489383.0,US Retina LLC,12781971.0,17495092.0,2
1861469108.0,Midmark Corporation,0.0,17450991.0,1
1548381171.0,Allerderm  Laboratories,0.0,16339507.0,1
1609875020.0,Allerderm  Laboratories,0.0,16339507.0,1
1710934385.0,Scientia Vascular,901639.83,13809671.84,1
1316938723.0,"Cardio Flow, Inc.",3656994.0,12582995.0,2
1649248519.0,"Imperative Care, Inc",690763.0,12031534.0,2
1144425067.0,"Imperative Care, Inc",494705.0,11640848.0,2
1558325951.0,"Imperative Care, Inc",839131.0,11020048.0,2
1972533388.0,MESH SUTURE INC,0.0,10836000.0,5
1811020936.0,"Applied Medical Research, Inc",0.0,9967124.0,1
1992710453.0,"HeartFlow, Inc.",0.0,9832032.73,2
1699793661.0,Innovation Technologies Inc,8.01,9171450.0,1
1881680726.0,"Spinal Simplicity, LLC",2110000.0,8894357.12,2
1215030333.0,Circinus Medical Technology LLC,0.0,8481386.3,1
1265520027.0,Innovation Technologies Inc,8.01,8410500.0,1
1235474735.0,Scientia Vascular,1307540.1,8367505.98,1
1093700965.0,"Optimotion Implants, LLC",0.0,7754565.0,3
1538168455.0,"Grace Medical, Inc.",1240616.0,6790394.0,1
1902805823.0,"Grace Medical, Inc.",1240616.0,6790394.0,1
1992768204.0,"Grace Medical, Inc.",1240616.0,6790394.0,1
1447302666.0,Scientia Vascular,2753500.0,6551140.0,1
1114105673.0,Vektor Medical Inc.,6705838.86,6513782.76,1
1235152885.0,Vektor Medical Inc.,6705838.86,6513782.76,1
1295755080.0,Vektor Medical Inc.,6705838.86,6513782.76,1
1275588246.0,"Centinel Spine, LLC",0.0,6000000.0,2
1568535011.0,Dental Buying Power LLC,232364.15,6000000.0,1
1346312345.0,Ultradent Products Inc,5000.0,5967392.0,1
1962425223.0,"Tyber Medical, LLC",0.0,5930971.0,1
1033281027.0,Ultradent Products Inc,1000.0,5658353.0,1
1750623328.0,Catalyst Orthoscience,635583.39,5518711.7,1
1518027366.0,"Alafair Biosciences, Inc.",0.0,5266281.0,3
1821359415.0,"DeRoyal Industries, Inc.",341304.0,5220421.0,1
1407840770.0,"Aptis Medical, LLC",400000.0,5188845.61,3
1316948490.0,Digital Diagnostics Inc.,0.0,5077333.19,1
1093745028.0,"ENDOTRONIX, INC.",0.0,5026578.78,1
1285613034.0,"Shoulder Innovations, Inc.",0.0,4842027.42,1
1265423453.0,"SN Holdings, LLC",0.0,4471851.449999999,2
1457389009.0,"Route 92 Medical, Inc.",202552.44,4315065.46,1
1629076161.0,"Contego Medical, Inc",0.0,4248395.89,1
1811020936.0,AMERICAN MEDICAL TECHNOLOGY INC,827243.0,4238977.0,1
1710968185.0,"SI-TECHNOLOGY, LLC",4110328.83,4229428.63,2
1811103831.0,"Blustone Synergy, LLC",690847.21,4174352.71,1
