NPI,Total_Payment_USDollars,Interaction,Teaching_Institute
1992997977.0,35713.44,3,3
1992995393.0,1892578.06,183,1
1992995146.0,28061.0,7,0
1992991921.0,209563.22,11,0
1992991277.0,265726.64,39,0
1992985725.0,20400.0,1,1
1992981435.0,39474.82,17,17
1992980262.0,27272.870000000003,6,0
1992979736.0,69941.0,22,14
1992977342.0,201225.15,3,0
1992974968.0,169426.27,14,14
1992972897.0,2012691.08,51,46
1992972384.0,195363.3,16,16
1992968606.0,37035.0,4,0
1992968457.0,38080.6,7,7
1992967715.0,2000.0,1,1
1992966949.0,20304.0,2,0
1992965834.0,61523.18,35,25
1992964134.0,22438.13,1,1
1992963417.0,53419.02,39,0
1992962450.0,186860.14,38,37
1992961494.0,2977.0,2,0
1992961460.0,28141.0,12,0
1992960330.0,313803.8,50,48
1992954390.0,81365.06,12,9
1992952758.0,20075.0,11,0
1992951149.0,722486.28,411,381
1992948442.0,24538.0,1,0
1992948392.0,3806.0,1,0
1992948152.0,517878.31,45,0
1992947923.0,22477.8,1,0
1992947030.0,28638.4,3,2
1992942429.0,446686.24,10,3
1992941181.0,29747.56,18,0
1992937437.0,35721.18,9,0
1992936330.0,58575.0,4,0
1992936306.0,3020.48,4,0
1992935076.0,22550.0,2,0
1992933758.0,667091.0,47,0
1992933006.0,41076.0,1,0
1992932453.0,362920.4,25,20
1992932230.0,32698.45,16,4
1992930879.0,2922626.71,18,16
1992929624.0,118152.48,57,0
1992929137.0,117216.53,9,8
1992923460.0,11744605.8,110,0
1992919526.0,925601.11,664,0
1992918171.0,96602.43,15,6
1992916936.0,17295.0,4,0
1992915805.0,17627.5,5,0
1992913685.0,37748.0,1,0
1992913214.0,4772.5,4,4
1992908347.0,205018.2,5,0
1992908230.0,62300.93,5,0
1992906846.0,46381.159999999996,2,2
1992904387.0,535496.26,6,4
1992904049.0,1851.15,1,1
1992904023.0,340017.34,10,8
1992902837.0,30989.7,8,8
1992901573.0,70757.67,13,13
1992900575.0,174991.9,3,0
1992899470.0,3757.6099999999997,3,0
1992897938.0,51777.270000000004,7,0
1992897383.0,9080.0,4,4
1992894075.0,72459.3,1,1
1992892905.0,240464.86,33,18
1992892707.0,245262.71,51,0
1992892079.0,179080.16999999998,66,0
1992892020.0,57260.0,3,1
1992889505.0,108698.78,9,6
1992889067.0,188577.94,5,0
1992889059.0,35628.79,10,0
1992887335.0,155731.38,33,0
1992885859.0,899152.63,56,0
1992880728.0,70047.09,12,0
1992876155.0,5824.0,1,0
1992875421.0,31038.68,8,0
1992874473.0,19044.1,8,7
1992874226.0,229588.93,7,7
1992872717.0,1000.0,1,1
1992870638.0,178073.33,9,0
1992868418.0,41310.18,9,0
1992867147.0,3750.0,1,0
1992865489.0,18196.8,4,0
1992863443.0,158735.0,20,0
1992862205.0,154667.7,76,0
1992859607.0,40432.63,3,0
1992858633.0,93045.0,15,1
1992858385.0,30793.0,3,0
1992855704.0,25527.5,2,2
1992851877.0,200131.85,13,4
1992849863.0,264984.7,30,8
1992849673.0,6712.1,10,0
1992849095.0,25443.0,1,0
1992848519.0,1263830.23,21,21
1992844781.0,19137.71,15,15
1992842280.0,97816.43,4,3
1992840490.0,54129.4,15,10
1992836837.0,116710.71,43,0
1992830269.0,21928.93,1,0
1992830236.0,120069.16,23,0
1992828800.0,544650.0,21,0
1992827315.0,407722.01,71,0
1992826465.0,1200.0,3,0
1992823611.0,38776.4,49,0
1992819700.0,24739.29,11,0
1992819130.0,421079.48,69,0
1992818991.0,276.38,40,0
1992818413.0,27903.89,19,2
1992817530.0,5425.0,2,0
1992812986.0,141557.27,8,0
1992811822.0,10806.16,4,3
1992811012.0,44.39,1,0
1992810709.0,35411.24,5,5
1992810618.0,35892.54,1,1
1992809495.0,488978.53,95,0
1992804504.0,2711201.4099999997,91,0
1992803308.0,111270.15,17,0
1992800155.0,771624.15,7,0
1992799456.0,13646.4,2,0
1992799167.0,54452.15,22,0
1992798839.0,667955.8,63,0
1992797781.0,22338.5,2,0
1992796767.0,100683.69,2,0
1992795140.0,5000.0,1,1
1992794309.0,10627.25,2,0
1992793384.0,128760.12,6,0
1992793285.0,34434.520000000004,2,0
1992792451.0,87455.03,1,1
1992789747.0,23591.07,2,2
1992789697.0,100.0,1,0
1992789291.0,3375.0,6,0
1992789036.0,1122992.2,201,0
1992788699.0,3171.0,1,0
1992788616.0,67050.0,1,1
1992788244.0,102.0,1,0
1992788137.0,29060.5,3,0
1992787972.0,17605.0,2,0
1992787915.0,71214.0,4,4
1992786974.0,1393837.5,8,8
1992786925.0,18088.48,6,0
1992786503.0,496338.63,9,0
1992786339.0,31337.0,13,0
1992785026.0,718117.96,11,0
1992784987.0,1154904.0,121,0
1992783930.0,16464.0,8,0
1992782437.0,2153.09,2,2
1992780225.0,25900.0,1,0
1992780209.0,392790.71,17,14
1992779839.0,2506195.59,350,23
1992779599.0,41243.7,3,0
1992779474.0,2563506.0,21,0
1992779441.0,131048.98999999999,2,0
1992779334.0,43080.0,12,1
1992778393.0,4500.0,1,0
1992776637.0,170139.19,1,0
1992776348.0,188117.97,6,0
1992776231.0,18289.15,2,0
1992776116.0,683.3,1,0
1992775548.0,34598.29,15,0
1992774673.0,20000.0,4,0
1992774459.0,70508.04,33,33
1992774434.0,770.0,1,0
1992772156.0,1815340.93,388,0
1992771497.0,3029.2,2,1
1992769939.0,10520.0,1,0
1992769608.0,9517.5,3,3
1992769145.0,31794.44,7,0
1992767578.0,15969.4,7,0
1992766695.0,54411.35,8,8
1992766448.0,7636.27,2,0
1992765655.0,2600.0,1,0
1992765549.0,22304.0,2,0
1992764641.0,12585.560000000001,6,5
1992763254.0,52812.85,262,0
1992763015.0,175583.42,5,0
1992762165.0,7803.84,2,0
1992761571.0,92758.8,1,1
1992761050.0,20576.0,9,8
1992761043.0,180.0,1,0
1992759476.0,120302.63,15,0
1992759138.0,5962.7,5,0
1992758668.0,1000.0,1,0
1992757181.0,42932.0,2,0
1992755326.0,15150.24,2,2
1992755201.0,1240829.73,149,0
1992753727.0,902432.34,42,0
1992752372.0,24269.29,13,12
1992751754.0,108707.0,16,0
1992751705.0,40000.0,1,0
1992751648.0,45896.5,15,6
1992750723.0,33001.75,2,0
1992749873.0,2257384.85,137,0
1992749139.0,254426.09,13,7
1992748909.0,130152.35,28,0
1992748610.0,2603.1,1,0
1992748586.0,133363.62,139,0
1992748545.0,1456167.42,63,0
1992746911.0,859480.42,20,6
1992746721.0,625.0,1,0
1992743744.0,849155.91,36,0
