NPI,Payment_Type,Total_Payment_USDollars,Interaction
1992997977.0,Cash or cash equivalent,35713.44,3
1992995393.0,Cash or cash equivalent,1521821.72,169
1992995393.0,In-kind items and services,370756.34,14
1992995146.0,Cash or cash equivalent,28061.0,7
1992991921.0,Cash or cash equivalent,209563.22,11
1992991277.0,Cash or cash equivalent,265726.64,39
1992985725.0,In-kind items and services,20400.0,1
1992981435.0,Cash or cash equivalent,39474.82,17
1992980262.0,Cash or cash equivalent,27272.870000000003,6
1992979736.0,Cash or cash equivalent,69941.0,22
1992977342.0,Cash or cash equivalent,201225.15,3
1992974968.0,Cash or cash equivalent,169426.27,14
1992972897.0,Cash or cash equivalent,1670655.88,46
1992972897.0,In-kind items and services,342035.2,5
1992972384.0,Cash or cash equivalent,195363.3,16
1992968606.0,Cash or cash equivalent,37035.0,4
1992968457.0,Cash or cash equivalent,38080.6,7
1992967715.0,Cash or cash equivalent,2000.0,1
1992966949.0,Cash or cash equivalent,20304.0,2
1992965834.0,Cash or cash equivalent,61523.18,35
1992964134.0,Cash or cash equivalent,22438.13,1
1992963417.0,Cash or cash equivalent,53419.02,39
1992962450.0,Cash or cash equivalent,186770.14,37
1992962450.0,In-kind items and services,90.0,1
1992961494.0,Cash or cash equivalent,2977.0,2
1992961460.0,Cash or cash equivalent,28141.0,12
1992960330.0,Cash or cash equivalent,313803.8,50
1992954390.0,Cash or cash equivalent,81365.06,12
1992952758.0,Cash or cash equivalent,20075.0,11
1992951149.0,Cash or cash equivalent,722426.28,410
1992951149.0,In-kind items and services,60.0,1
1992948442.0,Cash or cash equivalent,24538.0,1
1992948392.0,Cash or cash equivalent,3806.0,1
1992948152.0,Cash or cash equivalent,281326.24,24
1992948152.0,In-kind items and services,236552.07,21
1992947923.0,Cash or cash equivalent,22477.8,1
1992947030.0,Cash or cash equivalent,11001.5,1
1992947030.0,In-kind items and services,17636.9,2
1992942429.0,Cash or cash equivalent,446686.24,10
1992941181.0,Cash or cash equivalent,29747.56,18
1992937437.0,Cash or cash equivalent,35721.18,9
1992936330.0,Cash or cash equivalent,58575.0,4
1992936306.0,Cash or cash equivalent,3020.48,4
1992935076.0,Cash or cash equivalent,22550.0,2
1992933758.0,Cash or cash equivalent,667091.0,47
